LGE|Nexus 5|hammerhead|6.0
samsung|SM-A300FU|a3ulte|5.0.2
samsung|SM-N910W8|trltecan|5.1.1
Sony|D5503|D5503|5.1.1
LGE|LG-D851|g3|5.0.1
LGE|LGMS345|c50|5.1.1
motorola|XT1058|ghost|5.1
LGE|LG-H812|p1|5.1
LGE|LGLS770|g4stylusc|5.1.1
samsung|SM-G900F|kltexx|5.1.1
samsung|SAMSUNG-SM-N920A|noblelteatt|5.1.1
samsung|SM-N920T|nobleltetmo|5.1.1
samsung|SM-A300F|a3lte|5.0.2
LGE|LG-D802|g2|5.0.2
motorola|MotoG3|osprey_u2|5.1.1
LGE|Nexus 4|mako|5.1.1
motorola|XT1033|falcon_umtsds|5.1
samsung|SCH-I545|jfltevzw|5.0.1
samsung|SM-G531H|grandprimeve3g|5.1.1
samsung|SM-G900I|klte|5.0
motorola|XT1526|surnia_cdma|5.1
Sony|D5303|D5303|5.0.2
samsung|SM-G928I|zenlte|5.1.1
asus|ASUS_Z00AD|Z00A_1|5.0
samsung|SM-G920P|zerofltespr|5.1.1
samsung|SM-T805|chagalllte|5.0.2
samsung|SM-G530T1|gprimeltemtr|5.1.1
samsung|SM-N910F|trlte|5.1.1
LGE|LG-H324|my50ds|5.0.1
motorola|XT1053|ghost|5.1
samsung|SM-G360T1|cprimeltemtr|5.1.1
LGE|Nexus 5X|bullhead|6.0.1
HTC|HTC Desire 626s|htc_a32eul|5.1
asus|ASUS_T00J|ASUS_T00J|5.0
motorola|MotoE2(4G-LTE)|surnia_umts|5.1
asus|ASUS ZenFone 2E|ASUS_Z00D|5.0.1
LGE|LG-D800|g2|5.0.2
LGE|LG-VS985|vs985|5.1.1
LGE|LG-H340AR|c50|5.0.1
samsung|SAMSUNG-SM-G530AZ|grandprimelteaio|5.1.1
samsung|GT-I9192|serranods|6.0.1
samsung|SM-G900M|klte|5.0
motorola|Moto G|falcon|6.0.1
motorola|XT1097|victara|6.0
LGE|Nexus 5|hammerhead|6.0.1
motorola|Nexus 6|shamu|6.0.1
LGE|LGMS631|g4stylusn|5.1.1
samsung|SM-N920V|nobleltevzw|5.1.1
motorola|XT1093|victara|5.1
LGE|Nexus 5|hammerhead|5.1.1
samsung|SM-G900R7|klteacg|5.0
samsung|GT-I9500|ja3g|5.0.1
LGE|LG-H634|g4stylus|5.1.1
LGE|Nexus 5|hammerhead|5.0.1
samsung|SM-N900T|hltetmo|5.0
samsung|SM-G850F|slte|5.0.2
LGE|LGLS990|g3|5.0.1
Sony|E6683|E6683|6.0
samsung|GT-I9300|m0|5.1.1
samsung|SM-G925F|zerolte|6.0.1
HTC|HTC One|m7|5.0.2
LGE|Nexus 5|hammerhead|5.0
samsung|SM-G928V|zenltevzw|6.0.1
asus|Nexus 7|flo|5.0
LGE|Nexus 4|mako|5.0
HTC|710C|htc_a5chl|5.0.2
LGE|LG-H815|h815|6.0.1
samsung|SM-J200Y|j2lte|5.1.1
motorola|XT1068|titan_umtsds|6.0
HTC|HTC One M9|htc_himauhl|6.0
LGE|AOSP on Mako|mako|5.0
samsung|SM-G900P|kltespr|6.0.1
samsung|SAMSUNG-SM-G530A|grandprimelteatt|5.1.1
samsung|GT-I9515|jfvelte|5.0.1
motorola|XT1069|titan_udstv|6.0
motorola|ghost|ghost|5.0
motorola|Nexus 6|shamu|5.0
asus|ASUS_T00F|ASUS_T00F|5.0
samsung|Nexus 10|manta|5.0
motorola|XT1064|titan_umts|5.0
asus|Nexus 7|grouper|5.0
LGE|LG-VS985|vs985|5.0
motorola|Moto X|ghost|5.0
motorola|Moto G|falcon_gpe|5.0
motorola|XT1039|peregrine|5.0
motorola|XT1095|victara|5.0
asus|Nexus 7|flo|5.0.1
HTC|HTC One|m7|5.0.1
samsung|SM-G920V|zerofltevzw|6.0.1
LGE|Nexus 4|mako|5.0.1
HTC|831C|htc_m8whl|6.0
HTC|HTC6525LVW|htc_m8|5.0.1
samsung|SM-G900F|klte|5.0
samsung|Nexus 10|manta|5.0.1
samsung|GT-I9505|jfltexx|5.0.1
asus|Nexus 7|grouper|5.0.2
LGE|LG-D855|g3|5.0
motorola|Moto X|ghost|5.0.2
motorola|Moto G|falcon_umts|5.0.2
motorola|Nexus 6|shamu|5.0.1
samsung|SM-N910T|trltetmo|5.0.2
samsung|GT-I9500|ja3g|5.0_by-master
samsung|SM-N9005|hlte|5.0
motorola|XT1097|victara|5.0
samsung|GT-I9505G|jgedlte|5.0
motorola|XT1033|falcon_umtsds|5.0
samsung|GT-N7105|t0lte|5.0.2
LGE|Nexus 5|hammerhead|5.0.2
samsung|GT-I8730|expressltexx|5.0.2
samsung|GT-I9505G|jgedlte|5.0.1
HTC|One|m7|5.0.2
samsung|SGH-I337M|jfltecan|5.0.2
samsung|GT-I9105P|s2vep|5.0.2
samsung|SM-N9005|hltexx|5.0.2
samsung|GT-I9300|m0|5.0.2
asus|Nexus 7|flo|5.0.2
samsung|GT-I9500|universal_5410|5.0.2
motorola|XT1033|falcon_umtsds|5.0.2
samsung|GT-I9100|GT-I9100|5.0.2
motorola|XT1069|titan_udstv|5.0.2
samsung|SM-N920W8|nobleltebmc|6.0.1
motorola|Nexus 6|shamu|5.0.2
motorola|XT1068|titan_umtsds|5.0.2
samsung|SM-G3815|wilcoxlte|5.0.2
asus|Transformer TF101|tf101|5.0.2
samsung|SM-N900|ha3g|5.0
samsung|GT-I9082|baffin|5.0.2
samsung|GT-N5110|konawifi|5.0.2
LGE|LG-E980|e980|5.0.2
LGE|LG-E975|e975|5.0.2
motorola|XT1092|victara|5.0
LGE|LG-D855|d855|5.0.2
HTC|HTC One_M8|htc_m8|5.0.1
samsung|SM-G900P|kltespr|5.0
samsung|GT-I8190|golden|5.0.2
motorola|XT1097|victara|5.0.1
samsung|SM-G900V|kltevzw|5.0
LGE|LGMS631|g4stylusn|6.0
samsung|Nexus 10|manta|5.0.2
samsung|SPH-L710|d2spr|5.0.2
asus|K01Q|K01Q|5.0.1
samsung|SCH-I545|jfltevzw|5.0.2
samsung|GT-I9506|ks01lte|5.0.1
HTC|831C|htc_m8whl|5.0.1
asus|Nexus 7|deb|5.0.2
samsung|SM-G900F|kltexx|5.0.2
LGE|Nexus 4|mako|5.0.2
motorola|XT1032|falcon_umts|5.0.2
samsung|SM-N910C|trelte|5.0.1
LGE|LG-D850|g3|5.0.1
samsung|SCH-I605|t0ltevzw|5.0.2
motorola|XT1095|victara|5.0.2
LGE|LG-D851|d851|5.0.2
samsung|GT-I9195|serranoltexx|5.0.2
LGE|VS810PP|e2nav|5.1.1
HTC|HTC_M8x|htc_m8|5.0.1
samsung|SM-G900T|kltetmo|5.0
samsung|SM-N910P|trltespr|5.0.1
HTC|HTCONE|m7wls|5.0.2
motorola|Moto X|ghost_retail|5.0.2
LGE|Optimus 4X HD|p880|5.0.2
samsung|T889|t0lte|5.0.2
LGE|Nexus 5|hammerhead|5.1
LGE|AOSP on HammerHead|hammerhead|5.0.2
motorola|XT1063/64|titan_umts|5.0.2
samsung|GT-I9305|m3|5.0.2
samsung|kltedv|kltedv|5.0.2
motorola|XT1096|victara|5.0
LGE|LG-D852|g3|5.0.1
asus|Nexus 7|grouper|5.1
samsung|SM-N910F|trlte|5.0.1
motorola|Nexus 6|shamu|5.1
motorola|victara|victara|5.0.2
samsung|GT-N7000|GT-N7000|5.0.2
samsung|GT-I9192|serranods|5.0.2
Sony|C1905|C1905|5.0.2
samsung|GT-I9505|jflte|5.0.1
Sony|Xperia Tablet Z LTE|pollux|5.0.2
motorola|XT1025|condor_udstv|5.0.2
Sony|Xperia V|tsubasa|5.0.2
LGE|LG-VS985|vs985|5.0.2
asus|Nexus 7|tilapia|5.0.2
samsung|SCH-R970|jflteusc|5.0.2
samsung|SAMSUNG-SM-N910A|trlteatt|5.0.1
Sony|D5803|D5803|5.0.2
HTC|HTC One M9|htc_himaulatt|5.0.2
HTC|HTC_M9u|htc_himauhl|5.0.2
samsung|GT-I8190|golden|5.1
LGE|VS980 4G|g2|5.0.2
samsung|SM-G920P|zerofltespr|5.0.2
Sony|Xperia Z1|honami|5.1
samsung|SAMSUNG-SM-G920A|zeroflteatt|5.0.2
motorola|MotoE2(4G-LTE)|surnia_umts|5.0.2
motorola|XT1063|titan_umts|5.0.2
samsung|SAMSUNG-SGH-I337|jflteatt|5.0.1
motorola|XT1526|surnia_cdma|5.0.2
samsung|SAMSUNG-SM-G900A|klteatt|5.0
samsung|SM-N910V|trltevzw|5.0.1
LGE|VS985 4G|g3|5.0.1
LGE|LG-E980|e980|5.1
motorola|XT1032|falcon_umts|5.1
HTC|HTC One 801e|m7|5.0.2
Sony|SGP521|SGP521|5.0.2
motorola|Moto G 2014|titan_umtsds|5.1
samsung|SM-G925F|zerolte|5.0.2
asus|ASUS_Z008D|Z008_1|5.0
Sony|D6653|D6653|5.0.2
Sony|D5503|D5503|5.0.2
asus|Nexus 7|tilapia|5.1
Sony|D6503|D6503|5.0.2
samsung|SM-G920T|zerofltetmo|5.0.2
samsung|SM-G935T|hero2qltetmo|6.0.1
samsung|SM-T800|chagallwifi|5.0.2
motorola|MotoE2(4G-LTE)|surnia_uds|5.0.2
samsung|SM-N900V|hltevzw|5.0
LGE|LG-D838|b1w|5.0.1
Sony|D6603|D6603|5.0.2
samsung|SM-G900MD|klte|5.0
samsung|SAMSUNG-SM-N915A|tblteatt|5.0.1
samsung|SM-G920F|zeroflte|5.0.2
samsung|SM-N900W8|hltecan|5.0
samsung|SM-G920V|zerofltevzw|5.0.2
samsung|GT-I9506|ks01lte|5.0.2
Sony|D6633|D6633|5.0.2
samsung|SM-G925I|zerolte|5.0.2
asus|Nexus 7|flo|5.1
LGE|Nexus 4|mako|5.1
HTC|One S|ville|5.1.1
HTC|HTC6535LVW|htc_himawl|5.0.2
samsung|SM-N900P|hltespr|5.0
asus|Nexus 7|deb|5.1
samsung|SM-G920I|zeroflte|5.0.2
samsung|SAMSUNG-SM-N900A|hlteatt|5.0
asus|ASUS_Z00AD|Z00A|5.0
samsung|SM-S765C|heat3gtfnvzw|5.1
LGE|LG-H811|p1|5.1
asus|Nexus 7|grouper|5.1.1
Sony|D5833|D5833|5.0.2
samsung|GT-I9082|baffin|5.1.1
LGE|LGUS990|g3|5.0.1
samsung|SM-G900FQ|klte|5.0
HTC|One X|endeavoru|5.1.1
Sony|C6903|C6903|5.0.2
samsung|SM-G9250|zerolte|5.0.2
HTC|HTC One M9|htc_himauhl|5.0.2
samsung|GT-I9295|jactivelte|5.0.1
samsung|GT-I9505|jfltexx|5.1.1
samsung|GT-N7000|GT-N7000|5.1.1
samsung|SM-N910T|trltetmo|5.0.1
samsung|SM-G925T|zeroltetmo|5.0.2
samsung|GT-N7100|t03g|5.1
samsung|GT-I9301I|s3ve3g|5.0.2
Sony|Xperia Z1 Compact|amami|5.1.1
HTC|HTC One_M8|htc_m8|5.1
asus|Nexus 7|flo|5.1.1
Sony|C6802|C6802|5.0.2
LGE|LG-F460K|tiger6|5.0.1
samsung|SAMSUNG-SM-G870A|klteattactive|5.0
LGE|LG-D725|jagnm|5.0.2
samsung|GT-I9305|m3|5.1.1
samsung|SM-P550|gt5note10wifi|5.0.2
motorola|Moto Maxx|quark|5.1.1
samsung|SM-G900FD|klte|5.0
samsung|SM-G900T|kltetmo|5.1.1
samsung|SM-G900R4|klteusc|5.0
samsung|SM-N900U|hlte|5.0
samsung|SM-G9250|zeroltechn|5.0.2
Sony|C6602|C6602|5.0.2
Sony|D6543|D6543|5.0.2
Sony|Xperia Z2|sirius|5.0.2
LGE|LG-F520K|aka|5.0.2
Sony|C6943|C6943|5.0.2
samsung|GT-I9100|GT-I9100|5.1.1
samsung|SM-P601|lt033g|5.1.1
motorola|XT1097|victara|5.1
asus|K016|K016_2|5.0
samsung|SM-N910H|tre3g|5.0.1
samsung|SM-G900I|kltedv|5.1.1
samsung|SM-T530NU|matissewifiue|5.0.2
samsung|SPH-L720|jfltespr|5.0.1
samsung|SAMSUNG-SM-G925A|zerolteatt|5.0.2
Sony|C6603|C6603|5.0.2
LGE|LGMS345|c50|5.0.2
LGE|LG-H440n|c70n|5.0.1
LGE|LG-MS323|w5|5.1.1
samsung|SM-T705|klimtlte|5.0.2
motorola|Nexus 6|shamu|5.1.1
asus|ASUS_Z002|ASUS_Z002|5.0
HTC|HTC One M9|htc_himaulatt|6.0
samsung|SM-G313HZ|vivalto3gvn|5.1
Sony|Xperia Z Ultra|togari|5.1.1
HTC|HTC Desire 816 dual sim|htc_a5dwg|5.0.2
HTC|HTC_M8x|htc_m8|5.0.2
samsung|SPH-L710|d2spr|5.1.1
motorola|MotoE2(4G-LTE)|surnia_udstv|5.0.2
samsung|SM-G925P|zeroltespr|5.0.2
LGE|LG-D410|w7dsn|5.0.2
samsung|Nexus 10|manta|5.1.1
LGE|LG-D802T|g2|5.0.2
samsung|SM -G3812B|wilcoxds|5.1.0
Sony|Xperia SP|huashan|5.1.1
samsung|SAMSUNG-SM-T807A|chagalllteatt|5.0.2
asus|Nexus 7|deb|5.1.1
samsung|GT-I9195|serranoltexx|5.1.1
samsung|SM-T530NN|matissewifigoogle|5.0.2
Sony|SGP311|SGP311|5.0.2
motorola|XT1528|surnia_cdma|5.1
samsung|SPH-L720T|jflterefreshspr|5.0.1
LGE|LG-D415|w7|5.0.2
samsung|GT-I9300|trelte|5.0.1
LGE|LG-H815|p1|5.1
samsung|SAMSUNG-SGH-I437|expressatt|5.0.2
LGE|LG-V500|awifi|5.0.2
motorola|XT1097|victara|5.0.2
HTC|HTC6525LVW|htc_m8wl|5.0.1
HTC|HTC6500LVW|m7wlv|5.0.2
samsung|SM-N915FY|tblte|5.0.1
asus|ASUS_T00N|ASUS_T00N|5.1.1
samsung|GT-I9190|serrano3g|5.1.1
samsung|SM-G900H|k3g|5.0
Sony|SO-04G|SO-04G|5.0.2
samsung|SM-G870W|kltecanactive|5.0
samsung|SM-T550|gt510wifi|5.0.2
samsung|SGH-I337M|jfltecan|5.0.1
LGE|LG-H340n|c50n|5.0.1
Sony|SGP621|SGP621|5.0.2
samsung|SM-G925F|zerolte|5.1.1
asus|K01E|K01E_2|5.0.2
LGE|LG-H343|c50|5.1.1
LGE|LG-D410hn|w7nds|5.1.1
samsung|GT-N7100|t03g|5.1.1
samsung|GT-I8730|expressltexx|5.1.1
Sony|SOV31|SOV31|5.0.2
samsung|SM-N910C|trelte|6.0.1
LGE|LGL22C|y50c|5.0.1
samsung|SM-G901F|kccat6|5.0.2
samsung|GT-S5302|GT-S5302|5.0.1
samsung|p4wifi|p4wifi|5.1.1
samsung|SCH-I535|d2vzw|5.1.1
LGE|LG-E975|e975|5.1.1
motorola|XT1254|quark|5.1
samsung|SM-G920V|zerofltevzw|5.1.1
HTC|HTC One dual sim|m7cdwg|5.0.2
samsung|SM-G850FQ|slte|5.0.2
motorola|Moto X|ghost_retail|5.1.1
samsung|SAMSUNG-SM-G890A|marinelteatt|5.0.2
Sony|SGP511|SGP511|5.0.2
samsung|SGH-M919|jfltetmo|5.1.1
LGE|LGLS991|p1|5.1
motorola|XT1095|victara|5.1
motorola|XT1225|quark_umts|5.0.2
LGE|LG-LS980|g2|5.0.2
samsung|SM-N9005|zerolte|5.0.2
motorola|XT1039|peregrine|5.1
samsung|SM-G900W8|kltecan|5.0
LGE|Nexus 5 CAF|hammerhead|5.1.1
LGE|LG-D335|luv80ds|5.0.2
Sony|D6503|D6503|5.1.1
samsung|SM-G906S|lentislteskt|5.0.1
HTC|HTC One_M8|htc_m8|5.0.2
Sony|C6806|C6806|5.0.2
samsung|SM-P905|viennalte|5.0.2
Sony|D6653|D6653|5.1.1
Sony|D5803|D5803|5.1.1
LGE|LG-D855|d855|5.1.1
samsung|SM-N915V|tbltevzw|5.0.1
LGE|LGLK430|e7iilte|5.0.1
samsung|SM-N910P|trltespr|5.1.1
Sony|D6603|D6603|5.1.1
motorola|MotoE2(4G-LTE)|surnia_uds|5.1.1
samsung|SM-G920F|zeroflte|5.1.1
motorola|XT1078|thea_umtsds|5.0.2
LGE|LG-H320|my50|5.0.1
LGE|LG-D620|g2m|5.0.2
HTC|831C|htc_m8whl|5.0.2
samsung|SAMSUNG-SGH-I747|d2att|5.1.1
samsung|GT-I9505|zeroflte|5.1.1
Sony|C6902|C6902|5.0.2
samsung|GT-I9515L|jfvelte|5.0.1
samsung|SM-N910U|trhplte|5.0.1
samsung|SM-A500FU|a5ulte|5.0.2
motorola|Moto G 2014|titan_umtsds|5.1.1
motorola|XT1072|thea|5.0.2
HTC|HTC_B810x|htc_b2ul|5.0.2
samsung|SM-T537V|matisseltevzw|5.1.1
HTC|HTC One_M8|htc_m8wl|5.0.1
samsung|SM-N910G|trlte|5.0.1
motorola|XT1092|victara|5.1
motorola|Moto X|ghost|5.1.1
motorola|Nexus 6|shamu|6.0
samsung|SM-G920I|zeroflte|5.1.1
Sony|D6543|D6543|5.1.1
LGE|LG-F350K|g2|5.0.2
motorola|MotoE2|otus_ds|5.0.2
HTC|HTV31|htc_b3uhl|5.0.2
samsung|SM-G900P|kltespr|5.1.1
Sony|D5833|D5833|5.1.1
motorola|MotoG3|osprey_umts|5.1.1
samsung|SGH-M919V|jfltecan|5.0.1
HTC|HTC_E9x|htc_a53ml_dtul|5.0.2
samsung|SM-G920F|jflte|5.0.2
LGE|LG-D415|w7|5.1.1
LGE|VK815|altev2|5.0.2
samsung|Note 3|hlte|5.1.1
Sony|C6833|C6833|5.0.2
LGE|LG-D693n|b2lssn|5.0.2
asus|ASUS_T00J|ASUS_T00J1|5.0
HTC|HTC One M8|htc_m8|5.0.2
motorola|MotoG3|osprey_uds|5.1.1
samsung|SM-G920W8|zerofltebmc|5.0.2
motorola|Moto G 2014 LTE|thea_umtsds|5.1.1
LGE|LG-H959|z2|5.1.1
samsung|SM-J100VPP|j1qltevzw|5.0.2
HTC|HTCD200LVW|htc_a32ewl|5.1
motorola|XT1563|lux_uds|5.1.1
samsung|SM-N9005|hltexx|5.1.1
asus|K013|K013_1|5.0
Sony|D6502|D6502|5.1.1
samsung|SM-G925T|zeroltetmo|5.1.1
samsung|SM-G530R4|gprimelteusc|5.1.1
LGE|LG-V500|v500|5.1.1
HTC|HTC One M9|htc_himauhl|5.1
samsung|GT-I9295|jactivelte|5.1.1
LGE|LG-D724|jag3gds|5.0.2
LGE|LG-D618|g2mds|5.0.2
LGE|LG-V410|e7lte|5.0.2
motorola|Moto G|falcon_umtsds|5.1.1
LGE|LG-D631|b2l|5.0.2
motorola|MotoG3|osprey_udstv|5.1.1
samsung|SAMSUNG-SGH-I717|SGH-I717|5.1.1
samsung|SM-T810|gts210wifi|5.0.2
LGE|LGLS665|c50|5.1.1
samsung|SM-A800F|a8elte|5.1.1
asus|ASUS_T00N|ASUS_T00N|5.0
samsung|SAMSUNG-SGH-I537|jactivelteatt|5.0.1
LGE|LG-D850|d850|5.1.1
samsung|SM-N920I|noblelte|5.1.1
samsung|SM-G530H|fortuna3g|5.0.2
asus|ASUS_T00I|ASUS_T00I|5.1.1
samsung|SM-G9200|zerofltechn|5.1.1
HTC|0PM92|htc_a32ewhl|5.1
Sony|SGP511|SGP511|5.1.1
samsung|SM-G925P|zeroltespr|5.1.1
samsung|SM-G920R6|zerofltelra|5.0.2
samsung|SCH-R970X|jfltecsp|5.0.1
HTC|HTC_0P6B|htc_m8|5.0.1
samsung|SM-G920S|zeroflteskt|5.1.1
motorola|XT1045|peregrine|5.1
HTC|HTC Desire 816 dual sim|htc_a5dug|5.0.2
LGE|LG-H635|g4stylusn|5.0.2
samsung|SM-N910C|trelte|5.1.1
samsung|klte|klte|5.1.1
Sony|C6916|C6916|5.0.2
samsung|SM-P605|viennalte|5.0.2
samsung|SM-G800F|kminilte|5.1.1
HTC|HTC One M9|htc_himaulatt|5.1
samsung|SM-J100VPP|j1qltevzw|5.1.1
samsung|SM-G530FZ|grandprimelte|5.0.2
samsung|SM-G920|Galaxy S6|5.0.2
samsung|SM-G928F|zenlte|5.1.1
samsung|GT-I9500|ja3g|5.0
Sony|C1905|C1905|5.1.1
HTC|HTC_M910x|htc_eyetuhl|5.0.2
samsung|SM-A8000|a8ltechn|5.1.1
samsung|SM-T235|degasltexx|5.1.1
samsung|SM-N920W8|nobleltebmc|5.1.1
HTC|HTC Desire 826|htc_a52dtul|5.0.2
samsung|SM-G9280|zenltechn|5.1.1
Sony|D6603|leo|5.1.1
asus|ASUS_T00Q|ASUS_T00Q|5.0
HTC|HTC One dual sim|m7cdug|5.0.2
Sony|SO-03G|SO-03G|5.0.2
samsung|SM-G901F|kccat6xx|5.1.1
LGE|LG-D806|g2|5.0.2
samsung|SM-G925F|zeroltebmc|5.1.1
samsung|SM-N910F|trltexx|5.1.1
samsung|SM-J500M|j5lte|5.1.1
motorola|XT1064|titan_umts|5.0.2
samsung|GT-I8190|golden|5.1.1
HTC|HTC_E9pw|htc_a55ml_dtul|5.0.2
samsung|SM-G920T1|zerofltemtr|5.0.2
Sony|SGP521|SGP521|5.1.1
Sony|Xperia L|taoshan|5.1.1
samsung|SC-04G|SC-04G|5.0.2
LGE|LG-H502|my90ds|5.0.1
samsung|SAMSUNG-SM-T337A|milletlteatt|5.1.1
samsung|SM-G9009D|klte|5.0
motorola|XT1585|kinzie|6.0
HTC|HTC_0PJA10|htc_himauhl|5.1
samsung|SM-T350|gt58wifi|5.0.2
Sony|C6603|C6603|5.1.1
LGE|LG-H736|p1bdsn|5.1.1
samsung|SM-T700|klimtwifi|5.0.2
samsung|SM-N910T3|trltetmo|5.1.1
Sony|SO-03F|SO-03F|5.0.2
LGE|LG-D851|d851|5.1.1
samsung|SAMSUNG-SM-G920A|zeroflteatt|5.1.1
Sony|E5333|E5333|5.0
Sony|C6903|C6903|5.1.1
LGE|LG-H345|c50|5.1.1
samsung|SM-N915T|tbltetmo|5.0.1
samsung|GT-N7105|t0lte|5.1.1
HTC|HTC_M9u|htc_himauhl|5.1
samsung|SM-G361H|coreprimeve3g|5.1.1
samsung|SC-02F|SC-02F|5.0
samsung|GT-S7580|kylepro|5.1.1
samsung|SM-G9208|zerofltechn|5.1.1
samsung|SM-G920T|zerofltetmo|5.1.1
Sony|D5303|D5303|5.1.1
Sony|D2305|D2305|5.1.1
Sony|SGP611|SGP611|5.1.1
LGE|LG-D801|g2|5.0.2
LGE|LG-D690n|b2ldsn|5.0.2
samsung|SM-G530H|fortunave3g|5.0.2
samsung|GT-I9505|jfltexx|5.0.2
HTC|HTCD100LVW|htc_a13wl|5.1
samsung|SM-N915FY|tblte|5.1.1
asus|Nexus 7|tilapia|5.1.1
LGE|VS880|x10|5.1.1
samsung|SAMSUNG-SM-N910A|trlteatt|5.1.1
motorola|XT1096|victara|5.1
Sony|C6602|C6602|5.1.1
LGE|LG-H500|my90|5.0.1
HTC|HTC One max|t6ul|5.0.2
asus|Nexus 7|deb|6.0
LGE|LG-H522|mc90ds|5.0.2
